ID,MatchNumber,ScoutName,Auto_Leave,Auto_Coral_L1,Auto_Coral_L2,Auto_Coral_L3,Auto_Coral_L4,Tele_Coral_L1,Tele_Coral_L2,Tele_Coral_L3,Tele_Coral_L4,Tele_Processor,Tele_Barge,Endgame_Parked,Endgame_Shallow_Cage,Endgame_Deep_Cage,Comments,Last Modified
,38,Zander,0.00,0.00,0.00,1.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,,3/15/2025 9:28pm
,42,Ian,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,Only moved forward slightly during auto. Dislodged algae.,3/15/2025 9:22pm
,2,Terri,1.00,0.00,0.00,0.00,0.00,2.00,3.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,Could release algae.,3/15/2025 9:18pm
,9,Terri,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,3.00,2.00,0.00,0.00,0.00,0.00,Missed upper level in auto. no park,3/15/2025 9:18pm
,12,keith,1.00,0.00,0.00,0.00,0.00,1.00,4.00,5.00,1.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:26pm
,16,keith,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,Can dislodge algae. Seemed like their coral intake wasn't working.,3/15/2025 9:26pm
,21,Joyce,0.00,0.00,0.00,0.00,1.00,0.00,4.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,,3/15/2025 9:24pm
,26,scott,1.00,0.00,0.00,0.00,1.00,0.00,3.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,Died mid match,3/15/2025 9:20pm
,31,Ian,0.00,0.00,0.00,0.00,1.00,0.00,5.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,Can't pick from the floor. Can dislodge algae. ,3/15/2025 9:22pm
,40,DAB,1.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,6.00,0.00,0.00,0.00,0.00,0.00,,3/15/2025 9:18pm
,43,jeanette,1.00,0.00,0.00,0.00,0.00,6.00,1.00,1.00,2.00,0.00,0.00,1.00,0.00,0.00,there best place for coral is 1 level,3/15/2025 9:21pm
,5,scott,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,6.00,0.00,0.00,1.00,0.00,0.00,Climbed but dropped,3/15/2025 9:20pm
,8,keith,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:26pm
,11,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,5.00,0.00,0.00,0.00,0.00,1.00,,3/15/2025 9:28pm
,18,Bailey,1.00,0.00,0.00,0.00,0.00,1.00,2.00,4.00,1.00,0.00,0.00,0.00,1.00,0.00,,3/15/2025 9:18pm
,5,keith,1.00,1.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,Can dislodge algae. ,3/15/2025 9:26pm
,10,DAB,1.00,0.00,0.00,0.00,0.00,0.00,4.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:22pm
,15,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,Got a coral stuck inside. scored algae instead,3/15/2025 9:28pm
,19,jeanette,1.00,0.00,0.00,0.00,0.00,2.00,3.00,4.00,0.00,2.00,0.00,0.00,0.00,0.00,"Can not score in 4, they are so so",3/15/2025 9:20pm
,23,jeanette,1.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,Can dislodge algae. Other then that no,3/15/2025 9:20pm
,26,Zander,1.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,2.00,2.00,0.00,1.00,0.00,0.00,,3/15/2025 9:28pm
,32,Amber,1.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,,3/15/2025 9:24pm
,40,Ian,0.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,1.00,0.00,0.00,0.00,0.00,1.00,"Only moved forward during auto. Scored on levels two through four in teleop. Climbed the deep cage at the end, but potentially dipped too low.",3/15/2025 9:22pm
,44,scott,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,,3/15/2025 9:28pm
,4,james,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,Idk,3/15/2025 9:24pm
,8,Terri,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,0.00,0.00,,3/15/2025 9:18pm
,15,keith,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,1.00,0.00,0.00,,3/15/2025 9:26pm
,20,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,Focused exclusively on scoring algae for the coop bonus,3/15/2025 9:28pm
,25,Joyce,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,0.00,Can dislodge algae. Score in barge. Can pick from the floor. Can score coral.,3/15/2025 9:24pm
,28,keith,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,1.00,0.00,0.00,,3/15/2025 9:22pm
,35,jeanette,1.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,1.00,1.00,0.00,1.00,0.00,0.00,Can dislodge algae. ,3/15/2025 9:20pm
,44,Ian,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,1.00,0.00,0.00,"Can dislodge and score algae. Can also score coral, although it struggled a little and switched to processing algae.",3/15/2025 9:22pm
,1,jeanette,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,2.00,0.00,1.00,0.00,0.00,missed first algae in processor,3/15/2025 9:20pm
,6,keith,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:26pm
,11,james,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,1.00,,3/15/2025 9:24pm
,20,Joyce,1.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:24pm
,26,DAB,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,0.00,0.00,Had trouble getting coral,3/15/2025 9:18pm
